iter	accept?	e	prior	jcoup_e	shift_e	p_a	iter_times
0	+	-168.158285	-0.002949	-48.730219	-39.007992	1.000000	2.081991s
1	-	-170.179316	-0.003024	-48.734477	-39.004285	0.132519	2.076584s
2	+	-165.653983	-0.002858	-48.712730	-39.007375	1.000000	2.093897s
3	+	-162.751183	-0.002751	-48.735764	-39.007734	1.000000	2.145844s
4	+	-161.066259	-0.002689	-48.726435	-39.007045	1.000000	2.211345s
5	-	-161.384192	-0.002702	-48.700612	-39.008065	0.727652	2.222168s
6	+	-160.434486	-0.002667	-48.714063	-39.005239	1.000000	2.320767s
7	+	-158.635952	-0.002599	-48.761293	-39.000078	1.000000	2.197248s
8	+	-157.935324	-0.002574	-48.739087	-39.004550	1.000000	2.201877s
9	+	-158.113582	-0.002581	-48.729297	-39.002960	0.836727	2.061991s
10	+	-156.449987	-0.002521	-48.706038	-38.996522	1.000000	2.083813s
11	-	-158.532305	-0.002597	-48.718252	-38.996152	0.124641	2.330144s
12	-	-158.332577	-0.002590	-48.700427	-39.002153	0.152195	2.296623s
13	-	-157.273811	-0.002552	-48.707017	-38.993954	0.438751	2.217053s
14	-	-156.777923	-0.002532	-48.747806	-38.997964	0.720409	2.102369s
15	+	-157.609289	-0.002565	-48.696498	-38.987141	0.313705	2.232651s
16	+	-157.026710	-0.002545	-48.660605	-38.983726	1.000000	2.252388s
17	-	-157.167434	-0.002551	-48.635248	-38.980044	0.868729	2.371068s
18	-	-158.859013	-0.002612	-48.664522	-38.977020	0.160045	2.141274s
19	-	-158.968315	-0.002616	-48.652956	-38.977899	0.143473	2.240478s
20	+	-155.652837	-0.002496	-48.623112	-38.980332	1.000000	2.214600s
21	-	-158.339615	-0.002595	-48.618527	-38.977591	0.068100	2.153530s
22	-	-155.988594	-0.002508	-48.630048	-38.985824	0.714797	2.184294s
23	+	-155.184829	-0.002479	-48.623011	-38.980786	1.000000	2.363445s
24	+	-157.305671	-0.002557	-48.613794	-38.979783	0.119931	2.148268s
25	+	-155.700085	-0.002499	-48.586459	-38.986516	1.000000	2.358939s
26	-	-158.365579	-0.002598	-48.558351	-38.978307	0.069565	2.232298s
27	-	-157.907517	-0.002580	-48.563973	-38.986298	0.109983	2.339753s
28	-	-157.109922	-0.002551	-48.566189	-38.989207	0.244183	3.730787s
29	+	-154.597882	-0.002458	-48.590640	-38.990851	1.000000	2.108527s
30	+	-154.411417	-0.002451	-48.599031	-38.995306	1.000000	2.254820s
31	+	-154.475887	-0.002453	-48.610066	-38.986814	0.937564	2.421150s
